observation_period,toa,clear_sky_ghi,clear_sky_bhi,clear_sky_dhi,clear_sky_bni,ghi,bhi,dhi,bni,reliability,start_time,end_time,ghi_component_difference,solar_period,ghi_above_clear,bhi_above_clear,dhi_above_clear,bni_above_clear,csi,ghi_reconstructed,low_reference_flag
2015-01-01T00:00:00.0/2015-01-01T01:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2015-01-01 00:00:00,2015-01-01 01:00:00,0.0,nighttime,False,False,False,False,,,False
2015-01-01T01:00:00.0/2015-01-01T02:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2015-01-01 01:00:00,2015-01-01 02:00:00,0.0,nighttime,False,False,False,False,,,False
2015-01-01T02:00:00.0/2015-01-01T03:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2015-01-01 02:00:00,2015-01-01 03:00:00,0.0,nighttime,False,False,False,False,,,False
2015-01-01T03:00:00.0/2015-01-01T04:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2015-01-01 03:00:00,2015-01-01 04:00:00,0.0,nighttime,False,False,False,False,,,False
2015-01-01T04:00:00.0/2015-01-01T05:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2015-01-01 04:00:00,2015-01-01 05:00:00,0.0,nighttime,False,False,False,False,,,False
2015-01-01T05:00:00.0/2015-01-01T06:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2015-01-01 05:00:00,2015-01-01 06:00:00,0.0,nighttime,False,False,False,False,,,False
2015-01-01T06:00:00.0/2015-01-01T07:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2015-01-01 06:00:00,2015-01-01 07:00:00,0.0,nighttime,False,False,False,False,,,False
2015-01-01T07:00:00.0/2015-01-01T08:00:00.0,64.6685,34.1869,22.2684,11.9185,299.912,34.1869,22.2684,11.9185,299.912,0.6917,2015-01-01 07:00:00,2015-01-01 08:00:00,0.0,positive_reference,False,False,False,False,1.0,34.1869,False
2015-01-01T08:00:00.0/2015-01-01T09:00:00.0,240.2264,162.0056,128.722,33.2836,743.0219,162.0056,128.722,33.2836,743.0219,1.0,2015-01-01 08:00:00,2015-01-01 09:00:00,-2.842170943040401e-14,positive_reference,False,False,False,False,1.0,162.0056,False
2015-01-01T09:00:00.0/2015-01-01T10:00:00.0,376.0205,276.7197,233.9531,42.7665,873.9805,276.7197,233.9531,42.7665,873.9805,1.0,2015-01-01 09:00:00,2015-01-01 10:00:00,9.999999997489795e-05,positive_reference,False,False,False,False,1.0,276.7197,False
